câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
U tuyến dạng nang (cystadenoma) thường gặp ở cơ quan nào?,Phổi,Buồng trứng,Gan,Tim,b
Tác nhân chính gây viêm nội mạc tử cung sau sinh là?,Candida,Vi khuẩn ký khi hôn hợp,Vi rút Herpes,Tế bào miễn dịch,b
Ung thư vú là bệnh ung thư phổ biến nhất ở phụ nữ chiếm khoảng bao nhiêu phần trăm tổng số ca ung thư mới trên toàn cầu?,10%,15%,25%,40%,c
Phương pháp hình ảnh đầu tiên được sử dụng để phát hiện u buồng trứng?,X-quang,Siêu âm qua ngả âm đạo,CT scan,MRI,b
Tân sinh lymphô bao gồm nhóm bệnh nào?,Bệnh bạch cầu và u lymphô và rối loạn tế bào huyết tương,Chỉ bệnh bạch cầu,Chỉ u lymphô,Chỉ rối loạn tế bào huyết tương,a
Nguyên nhân chính của phù tế bào trong tổn thương có thể hồi phục là?,Rối loạn bơm Na+/K+ ATPase,Hoạt hóa quá mức lysosome,Đột biến ADN,Hoạt hóa quá mức enzym protease,a
Yếu tố nguy cơ gây polyp tuyến dạ dày:,Viêm tụy,Loạn sản biểu mô niêm mạc,Rối loạn điện giải,Polyp đại tràng,b
Tỷ lệ trẻ sơ sinh mắc vô tạo tuyến giáp:,1/1000,1/2000,1/4000,1/10000,c
Giai đoạn nào của sốc có thể hồi phục hoàn toàn nếu được điều trị?,Giai đoạn không tiến triển,Giai đoạn tiến triển,Giai đoạn không thể hồi phục,Không giai đoạn nào,a
Kỹ thuật nào sau đây không thuộc bệnh học phân tử?,PCR,Giải trình tự gen,Nhuộm H&E,Lai tại chỗ huỳnh quang (FISH),c
Phân loại polyp tuyến đại tràng gồm:,"Tuyến ống, nhánh và tuyến nang","Tuyến ống, nhánh và hỗn hợp","U xơ, u tuyến, u mỡ","Tuyến nhỏ, tuyến to, tuyến khổng lồ",b
Đặc điểm mô học của bệnh bụi phổi silic là:,U hạt không hoại tử,Vòng xơ hóa đồng tâm quanh hạt bụi,Viêm cấp tính,Xơ hóa dạng lưới không điển hình,b
Viêm gan mạn được chẩn đoán khi kéo dài trên:,1 tuần,1 tháng,3 tháng,6 tháng,c
Điểm khác biệt chính giữa u lành tính và u ác tính là gì?,U ác tính có khả năng xâm lấn và di căn,U lành tính luôn phát triển chậm hơn u ác tính,U lành tính không cần phẫu thuật,U ác tính có vỏ bao rõ ràng,a
Biểu hiện lâm sàng của polyp có tử cung thường là:,Không triệu chứng,Sốt,Xuất huyết âm đạo,Đau khi giao hợp,c
Một bệnh nhân có tiền sử gia đình mắc ung thư vú xét nghiệm phát hiện đột biến BRCA1. Bệnh nhân chưa mắc ung thư phương pháp dự phòng nào phù hợp?,Phẫu thuật cắt bỏ tuyến vú dự phòng,Chỉ theo dõi mỗi năm,Dùng hóa trị liều thấp,Liệu pháp miễn dịch,a
Hóa trị nào thường dùng cho ung thư buồng trứng?,Methotrexate,Paclitaxel + Carboplatin,Vincristine,Adriamycin,b
Trong bệnh bạch cầu lymphô cấp (ALL) và dấu ấn miễn dịch nào là đặc trưng của dòng tế bào B?,CD19,CD3,CD56,CD8,a
Hoại tử khác apoptosis ở điểm nào?,Hoại tử là quá trình có kiểm soát,Apoptosis luôn gây viêm,Hoại tử gây viêm còn apoptosis thì không,Apoptosis không liên quan đến ty thể,c
Yếu tố góp phần bảo vệ dạ dày:,H. pylori,Mucin,Pepsin,Acid HCl,b
Viêm giáp Hashimoto thường gặp ở:,Nam giới lớn tuổi,Phụ nữ tuổi sinh sản,Trẻ sơ sinh,Người cao tuổi,b
Nguyên nhân phổ biến nhất gây nhồi máu cơ tim là?,Huyết khối động mạch vành,Thuyên tắc phổi,Hạ huyết áp,Bệnh viêm cơ tim,a
Mối liên hệ giữa triệu chứng lâm sàng và tổn thương tử thi lần đầu tiên được nghiên cứu bởi:,Rudolf Virchow,Giovanni Battista Morgagni,Louis Pasteur,Antonie van Leeuwenhoek,b
Viêm ruột thừa cấp có đặc điểm mô học:,Tế bào u hạt,Hoại tử dạng bã đậu,Thấm nhập bạch cầu đa nhân trung tính toàn bộ lớp thành ruột,Dị sản biểu mô,c
Tổn thương đặc trưng ở vi thể trong lao phổi thứ phát:,Tế bào khổng lồ đa nhân trung tính,"Tế bào Langhans, hoại tử bã đậu",Viêm phế nang,Phù phổi cấp,b
Sỏi mật hình thành chủ yếu do:,Thiếu canxi,Rối loạn chuyển hóa acid mật và cholesterol,Dị ứng thực phẩm,Nhiễm nấm,b
"""Pseudomyxoma peritonei"" là thuật ngữ mô tả tình trạng nào?",Ung thư buồng trứng lan qua hệ bạch huyết,Sự lan rộng của chất nhầy từ khối u vào khoang phúc mạc,Ung thư phổi di căn đến gan,Sarcoma di căn qua đường máu,b
U cơ trơn tử cung thoái hóa có thể biểu hiện?,Tăng phân bào mạnh,Xuất huyết hoại tử hóa bọc,Dị sản tuyến,Không thay đổi,b
Phân nhóm phân tử nào của ung thư vú có tiên lượng tốt nhất?,Luminal A,Luminal B,HER2 dương tính,Triple-negative,a
U buồng trứng nào có nguy cơ ác tính cao nhất?,U thanh dịch độ thấp,U thanh dịch độ cao,U nang nhầy,U nội mạc tử cung,b
Dạng u lymphô không Hodgkin phổ biến nhất là?,U lymphô tế bào B lớn lan tỏa (DLBCL),U lymphô Burkitt,U lymphô tế bào T ngoại vi,Bệnh bạch cầu lymphô mạn,a
"In ischemia-reperfusion injury, which mechanism contributes most to cell damage?",Increased blood flow,Depletion of glucose,Overproduction of ROS,Decreased ATP synthesis,c
Lớp nào bị tổn thương sâu nhất trong loét điển hình:,Lớp niêm mạc,Lớp dưới niêm,Lớp cơ,"Qua cả lớp cơ, tới thanh mạc",d
Phân biệt u tuyến nang và carcinoma nang dựa vào:,Độ biệt hóa,Số lượng tế bào,Xâm lấn vỏ và mạch máu,Tăng sinh tuyến,c
Tiểu cầu đóng vai trò quan trọng nhất trong giai đoạn nào của quá trình cầm máu?,Cầm máu sơ cấp,Cầm máu thứ cấp,Tiêu fibrin,Tan cục máu đông,a
Kỹ thuật nào giúp phát hiện các bất thường trong nhiễm sắc thể?,PCR,FISH,Sinh thiết,Xét nghiệm máu,b
Polyp tuyến ống thường:,Ác tính ngay từ đầu,"Chiếm tỷ lệ cao nhất, nguy cơ thấp hơn tuyến nhánh",Gây viêm,Có mô cơ,b
"Trong u trung biểu mô ác tính, mô học thấy:",Mô liên kết giàu collagen,Tế bào hình vuông tạo tuyến và dạng sarcom,U hạt không hoại tử,Biểu mô phì đại,b
Mô học trong viêm đường mật cho thấy:,Thấm nhập lympho và hoại tử ống mật,Loạn sản tế bào gan,Xơ hóa tiểu thùy,Hoại tử tế bào hình nhẫn,a
Thuốc Imatinib (Gleevec) là liệu pháp nhắm đích được sử dụng để điều trị bệnh nào?,Ung thư phổi,Bạch cầu dòng tủy mãn tính (CML),Ung thư gan,Ung thư vú,b
Cơ chế vaccine HPV dựa vào:,DNA virus sống,Tế bào bất hoạt,Virus-like particles (VLPs),Vi khuẩn chết,c
Khi nào xạ trị thường được chỉ định sau phẫu thuật ung thư vú?,Luôn luôn,Khi có di căn xa,Sau phẫu thuật bảo tồn vú,Khi bệnh nhân từ chối hóa trị,c
Ung thư buồng trứng phổ biến nhất thuộc nhóm nào?,Ung thư thanh dịch độ cao,Ung thư nhầy,Ung thư tế bào sáng,Ung thư nội mạc tử cung,a
Đặc điểm quan trọng giúp phân biệt u lymphô Hodgkin với u lymphô không Hodgkin là gì?,Sự hiện diện của tế bào Reed-Sternberg,Tổn thương lan tỏa ngoài hạch,Sự xâm nhập mô kẽ của tế bào B nhỏ,Mức độ xơ hóa hạch lymphô,a
"Trong số các thay đổi thích nghi của tế bào, thay đổi nào có thể dẫn đến ung thư nếu kéo dài?",Phì đại,Tăng sản,Teo,Chuyển sản,d
Đặc điểm mô học của carcinôm tuyến dạ dày:,"Cấu trúc dạng tuyến, dị sản, loạn sản, xâm nhập mô đệm",Tăng sinh cơ trơn,Dị sản vảy,Hoại tử lan tỏa,a
Hormon TSH được tiết ra từ tuyến nào?,Tuyến giáp,Tuyến tùng,Tuyến yên,Tuyến cận giáp,c
"Trong sốc nhiễm trùng, yếu tố nào góp phần gây giãn mạch?",TNF-α và IL-1,Hemoglobin,Yếu tố VIII,Haptoglobin,a
Mục đích chính của bệnh học là:,Chẩn đoán bệnh,Nghiên cứu nguyên nhân bệnh,Định hướng điều trị,"Cả A, B và C",d
Giai đoạn sớm của ung thư đại tràng:,Viêm mạn,Carcinoma tại chỗ (in situ),U tuyến,Nang tuyến,b
"Trong ung thư phổi, loại thường gặp nhất ở người không hút thuốc là:",Carcinôm tế bào nhỏ,Carcinôm tuyến,Carcinôm tế bào vảy,Ung thư mô đệm,b
Xơ gan mô học còn gọi là:,Viêm gan cấp,Gan sợi hóa,Gan nhiễm sắt,Gan mỡ,b
Đặc điểm nào sau đây KHÔNG phải của u ác tính?,Di căn,Mất tính biệt hóa (thoái sản),Phát triển chậm và có vỏ bao,Xâm nhập mô xung quanh,c
Phân biệt giữa tăng sản và ung thư dựa vào?,Ti lệ tuyến/mô đêm,Kích thước tử cung,Loại vi khuẩn gây bệnh,Mức độ viêm,a
Chất ức chế PARP được dùng để điều trị ung thư vú có đột biến nào?,TP53,BRCA1/BRCA2,PIK3CA,HER2,b
HE4 là dấu ấn sinh học thường được kết hợp với CA125 trong?,Theo dõi điều trị ung thư buồng trứng,Phân biệt u lành tính và ác tính,Chẩn đoán ung thư cổ tử cung,Đánh giá đáp ứng với hóa trị,b
Tiêu chuẩn chính trong chẩn đoán HLH là gì?,Tăng ferritin máu,Giảm hồng cầu đơn thuần,Hạch lymphô teo nhỏ,Tăng bạch cầu trung tính,a
What is a key function of autophagy in neurodegenerative diseases?,Promoting apoptosis,Accumulating misfolded proteins,Removing damaged organelles,Increasing glucose uptake,c
Hội chứng FAP thường gây:,Polyp cơ,Polyp lành tính không biến chứng,Polyp tuyến dạ dày và nguy cơ ung thư cao,Viêm loét đại tràng,c
Tế bào Hurthle bắt màu:,Acid mạnh,Base mạnh,Không bắt màu,Màu vàng đặc,a
"Trong bệnh lý nào sau đây, thuyên tắc mỡ thường gặp nhất?",Viêm tụy cấp,Nhồi máu phổi,Gãy xương dài,Nhồi máu não,c
Bệnh lý nào dưới đây có thể được chẩn đoán bằng xét nghiệm FISH?,Hội chứng Down,Ung thư vú HER2+,Ung thư máu,"Cả A, B và C",d
"Hình ảnh ""ruột bút chì"" trên Xquang gợi ý:",Viêm ruột thừa,Ung thư đại tràng bên trái,Polyp nhỏ,Tắc tá tràng,b
Ung thư phổi nguyên phát thường gặp ở:,Trẻ em,"Người già, hút thuốc lá nhiều năm",Phụ nữ trẻ,Người mắc lao phổi cấp,b
Mô học xơ gan cho thấy:,Viêm loét lan tỏa,Các nốt tế bào gan được bao quanh bởi mô xơ,Hoại tử trung tâm tiểu thùy,Dị sản ống mật,b
Hóa trị hoạt động theo cơ chế nào?,Giết chết các tế bào ung thư đang phân chia nhanh,Tăng cường hệ miễn dịch chống ung thư,Ngăn chặn sự hình thành mạch máu của khối u,Ức chế hoạt động của tế bào gốc ung thư,a
Tăng sản điển hình có thể tiến triển thành?,Viêm từ cung,Polyp,Ung thư tuyến nội mạc,U nang,c
Phương pháp nào là tiêu chuẩn vàng trong xác định HER2 dương tính?,Xét nghiệm miễn dịch mô hóa (IHC),Xét nghiệm sinh hóa,PCR,Định lượng CA 15-3,a
Nguyên nhân chính gây tử vong ở bệnh nhân ung thư buồng trứng?,Chảy máu,Suy thận,Suy đa tạng do di căn phúc mạc,Đột quỵ,c
Dạng u lymphô Hodgkin phổ biến nhất là?,Dạng xơ cục,Dạng tế bào hỗn hợp,Dạng giàu lymphô,Dạng nghèo lymphô,a
Tổn thương tế bào có thể hồi phục xảy ra khi?,Tế bào tiếp tục phân chia không kiểm soát,Tế bào có thể phục hồi sau khi yếu tố gây stress được loại bỏ,Tế bào chết ngay lập tức,Hoại tử tế bào,b
Mô học polyp viêm cho thấy:,Tuyến dạng tuyến,"Thấm nhập bạch cầu đa nhân, mô sợi, mao mạch tăng sinh",Dị sản vảy,Hoại tử đông,b
Tế bào C của tuyến giáp tiết ra:,TSH,T3,Calcitonin,Thyroglobulin,c
Huyết khối tĩnh mạch sâu (DVT) có nguy cơ cao dẫn đến?,Nhồi máu cơ tim,Thuyên tắc phổi,Đột quỵ não,Xuất huyết nội sọ,b
Bệnh học nào giúp xác định nguyên nhân tử vong?,Bệnh học mô học,Bệnh học phân tử,Bệnh học pháp y,Bệnh học tế bào học,c
Lồng ruột không xử lý sớm có thể gây:,Xuất huyết tiêu hóa,Viêm gan,"Tắc ruột, thiếu máu cục bộ và hoại tử ruột",Viêm tụy,c
"Trong hen phế quản, mô học thấy:",Mạch máu giãn rộng,"Tăng sinh tuyến nhầy, cơ trơn, và thâm nhiễm bạch cầu ái toan",Hoại tử tế bào biểu mô,Hang lao,b
"Trong viêm gan mạn hoạt động, mô học cho thấy:",Hoại tử mảng (piecemeal necrosis) quanh khoảng cửa,Viêm cấp tính lan tỏa,Viêm mô mỡ,Viêm ống mật,a
Thành phần cơ bản của khối u bao gồm:,Chủ mô u và mô đệm,Bạch cầu và hồng cầu,Tiểu cầu và collagen,Mạch máu và lympho bào,a
Hình ảnh mô học của tăng sản không điển hình là?,Tuyến phân bổ thưa kích thước nhỏ,Tuyến sát nhau nhân không dị dạng,Tuyến lớn mất phân cực nhân nhượng sắc,Hoại từ tuyến,c
Trong ung thư vú giai đoạn III phương pháp điều trị nào thường được chỉ định đầu tiên?,Hóa trị tân bổ trợ,Xạ trị,Liệu pháp miễn dịch,Phẫu thuật ngay lập tức,a
U buồng trứng nào có thể gây nam hóa?,U tế bào hạt,U tế bào Sertoli-Leydig,U quái trưởng thành,U loạn sản,b
Viêm hạch lymphô cấp không đặc hiệu thường gặp nhất ở vị trí nào?,Hạch cổ và hạch nách,Hạch trung thất,Hạch ổ bụng,Hạch chậu,a
Teo cơ do bất động lâu dài là do?,Giảm kích thước tế bào,Tăng số lượng tế bào,Hoại tử tế bào,Đột biến gen,a
"Trong viêm dạ dày do H. pylori, vi khuẩn nằm ở:",Trong nhân tế bào,Giữa lớp cơ niêm,"Trên bề mặt niêm mạc, xen giữa chất nhầy",Trong lòng mạch,c
Viêm giáp Riedel có đặc điểm:,Tiết nhiều hormon tuyến giáp,Lan rộng ra các mô lân cận,Có nang lớn chứa dịch,Đáp ứng tốt với iod,b
Nguyên nhân phổ biến nhất của sốc nhiễm trùng là?,Vi khuẩn Gram dương,Vi khuẩn Gram âm,Nấm,Virus,a
Người đầu tiên đề xuất lý thuyết vi sinh vật gây bệnh là:,Louis Pasteur,Robert Koch,Antonie van Leeuwenhoek,Joseph Lister,a
Mô học Crohn đặc trưng với:,U hạt không hoại tử,Loét nông,Viêm lớp niêm,Tăng sản tuyến,a
Tế bào Langhans đặc trưng bởi:,Hình đa giác với nhân trung tâm,Nhân xếp vòng quanh rìa tế bào,Nhân lớn bất thường,Có màu đỏ nhạt,b
Biến chứng nguy hiểm của viêm đường mật:,Rối loạn đông máu,Viêm phúc mạc nhiễm trùng huyết,Thiếu máu,Viêm ruột,b
"Ví dụ nào dưới đây là u ác tính mặc dù có hậu tố ""-oma""?",U xơ (fibroma),U mỡ (lipoma),U lympho (lymphoma),U tuyến (adenoma),c
Lạc nội mạc tử cung có thể gây biến chứng?,Xơ gan,Viêm phổi quán,Vô sinh,Hạ canxi máu,c
Phẫu thuật bảo tồn vú thường được chỉ định khi nào?,Giai đoạn IV,Giai đoạn sớm,Ung thư ba âm tính,Di căn xa,b
"Bệnh nhân nữ 30 tuổi, u buồng trứng, triệu chứng nam hóa. Loại u nào phù hợp nhất?",U quái trưởng thành,U tế bào Sertoli-Leydig,Ung thư thanh dịch,U nội mạc tử cung,b
Liệu pháp điều trị tiêu chuẩn cho u lymphô tế bào B lớn lan tỏa (DLBCL) là?,Hóa trị R-CHOP,Xạ trị đơn thuần,Liệu pháp miễn dịch đơn thuần,Phẫu thuật cắt bỏ hạch,a
Quá liều acetaminophen gây tổn thương tế bào theo cơ chế nào?,Gây tổn thương ADN trực tiếp,Tạo ra chất trung gian độc hại làm cạn kiệt glutathione,Hoạt hóa quá mức apoptosis,Làm mất protein màng tế bào,b
Viêm dạ dày có loét nông thường gặp ở:,Người không triệu chứng,"Người bị stress nặng, sốc, bỏng",Trẻ nhỏ,Bệnh nhân đái tháo đường,b
Di căn hạch cổ thường gặp trong:,Ung thư nang,Ung thư tủy,Ung thư nhú,Ung thư không biệt hóa,c
Xét nghiệm nào thường được sử dụng để đánh giá nguy cơ huyết khối?,D-dimer,CRP (C-reactive protein),Hemoglobin,Bilirubin,a
Kỹ thuật nào sau đây là công cụ chính trong bệnh học phân tử?,Sinh thiết,PCR,Nhuộm H&E,Xét nghiệm máu,b
Mô học viêm loét đại tràng:,Loét sâu xuyên cơ,"Viêm mạn lớp niêm, loạn sản, không có u hạt",U hạt hoại tử,Viêm mạch,b
Tràn dịch màng phổi do ung thư đặc trưng bởi:,Dịch thanh dịch ít tế bào,Dịch tiết chứa tế bào ác tính,Dịch mủ đục,Dịch trong suốt,b
Hoại tử tế bào gan trong viêm gan cấp thường xảy ra ở:,Vùng quanh cửa,Trung tâm tiểu thùy gan,Mô liên kết quanh gan,Mô mỡ,b
Phương pháp nào sau đây KHÔNG phải là một phương pháp điều trị ung thư chính?,Phẫu thuật,Hóa trị,Liệu pháp miễn dịch,Kháng sinh liều cao,d
Tăng sản điển hình có thể tiến triển thành?,Viêm từ cung,Polyp,Ung thư tuyến nội mạc,U nang,c
Yếu tố nào dưới đây có thể làm giảm nguy cơ ung thư vú?,Béo phì,Dùng liệu pháp hormone thay thế,Cho con bú,Tiền sử gia đình có người mắc ung thư vú,c
Dấu ấn sinh học nào được sử dụng phổ biến nhất để theo dõi ung thư buồng trứng?,CEA,CA125,AFP,hCG,b
Viêm hạch lymphô do nhiễm virus thường có đặc điểm nào?,Chỉ ảnh hưởng một hạch đơn độc,Viêm hạch lymphô toàn thân,Gây hoại tử mỡ hạch lymphô,Không gây ra triệu chứng toàn thân,b
Đặc điểm của apoptosis là?,Gây phản ứng viêm mạnh,Tế bào co lại và hình thành thể apoptotic,Màng tế bào bị phá vỡ ngay lập tức,Xảy ra do tổn thương cấp tính nghiêm trọng,b
Dấu hiệu mô học của viêm mạn:,Bạch cầu ái toan,Bạch cầu đa nhân trung tính,"Tế bào lympho, tương bào, mất tuyến",U hạt không hoại tử,c
Viêm tuyến giáp De Quervain là:,Viêm hạt bán cấp,Viêm do nấm,Viêm xơ hóa,Viêm mạn tính ác tính,a
Phù do suy tim sung huyết thường có đặc điểm nào?,Phù khu trú,Phù đối xứng ở chi dưới,Phù không có dấu ấn lõm,Phù ở vùng mặt và mí mắt,b
Antonie van Leeuwenhoek có đóng góp quan trọng gì trong bệnh học?,Mô tả cấu trúc DNA,Phát minh ra kính hiển vi,Xây dựng lý thuyết vi sinh,Phát triển PCR,b
Ung thư tuyến biệt hóa kém:,Tế bào sắp xếp tuyến chặt,"Ít tạo tuyến, tế bào dị dạng rõ",Không xâm nhập,Không loạn sản,b
Khí phế thủng là hậu quả của:,Tăng tiết nhầy,Giãn bất thường và không hồi phục các phế nang,Tắc phế quản,Tăng áp động mạch phổi,b
Nguyên nhân thường gặp nhất của xơ gan:,Nhiễm ký sinh trùng,Viêm tụy mạn,"Viêm gan virus B, C và nghiện rượu",Viêm túi mật,c
U nào sau đây là một loại u lành tính của mô cơ trơn?,Osteoma,Leiomyoma,Lipoma,Fibroma,b
Trong adenomyosis tuyến nội mạc tử cung thường năm ở giai đoạn nào?,Nghi,Phát triển,Teo,Hoại từ,b
Dấu ấn phân tử nào liên quan đến tiên lượng tốt hơn trong ung thư vú?,HER2 dương tính,Ki-67 cao,POLE đột biến,p53 đột biến,c
Điều trị nào thường áp dụng cho ung thư buồng trứng giai đoạn muộn?,Phẫu thuật đơn thuần,Hóa trị kết hợp phẫu thuật,Xạ trị đơn thuần,Điều trị nội tiết,b
Điều trị chính của HLH bao gồm?,Ức chế miễn dịch và chặn cytokine,Dùng kháng sinh phổ rộng,Xạ trị hạch lymphô,Cắt bỏ hạch lymphô,a
Thiếu ATP trong tế bào sẽ ảnh hưởng đến?,Chuyển hóa lipid,Cân bằng ion và nước,Tổng hợp ADN,Sự biệt hóa tế bào,b
Yếu tố nguy cơ chính gây ung thư dạ dày:,Hút thuốc lá,Nhiễm H. pylori mạn tính,Uống sữa nhiều,Thiếu vitamin,b
U tuyến giáp lành điển hình là:,"Đơn ổ, có bao rõ","Nhiều ổ, xâm lấn xung quanh",Không có bao u,Luôn kèm hoại tử,a
Thuyên tắc nước ối xảy ra trong?,Chấn thương sọ não,Thai kỳ,Viêm phổi,Phẫu thuật ruột,b
Bệnh học nào quan trọng nhất trong chẩn đoán ung thư?,Bệnh học mô học,Bệnh học tế bào học,Bệnh học phân tử,"Cả A, B và C",d
Yếu tố nguy cơ chính của ung thư đại tràng:,Viêm gan B,"Polyp tuyến, viêm loét đại tràng, FAP",Viêm ruột thừa,Viêm tụy mạn,b
Carcinôm tế bào vảy đặc trưng bởi:,Mô tuyến tăng sinh,"Cầu nối gian bào, sừng hóa",Biểu mô hình trụ,"Tế bào nhỏ, tăng sắc",b
Viêm gan siêu vi B có thể gây:,Viêm tụy cấp,Xơ gan và ung thư tế bào gan,Bệnh Wilson,Thiếu máu,b
Mục tiêu chính của phẫu thuật trong điều trị ung thư là gì?,Làm giảm triệu chứng đau,Loại bỏ toàn bộ khối u,Tăng cường hiệu quả hóa trị,Ngăn ngừa hình thành di căn,b
Gen virus sinh ung chủ yếu của HPV:,E1 E2,E4 L1,E6 E7,L1 L2,c
Đột biến nào thường gặp trong ung thư vú di truyền?,TP53,PIK3CA,BRCA1/BRCA2,KRAS,c
Yếu tố nào giúp cải thiện phát hiện sớm ung thư buồng trứng?,Xét nghiệm máu kết hợp siêu âm,Chỉ dựa vào CA125,Không cần theo dõi,Nội soi ổ bụng định kỳ,a
Viêm hạch lymphô mạn không đặc hiệu thường do nguyên nhân nào?,Vi khuẩn lao và giang mai,Nhiễm virus cúm,Chấn thương cơ học,Nhiễm trùng cấp tính,a
Cơ chế chính của phì đại tế bào là gì?,Giảm tổng hợp protein,Tăng phân hủy protein,Gia tăng sản xuất protein và bào quan,Thay thế tế bào chết bằng tế bào mới,c
Di chứng nguy hiểm nhất của loét dạ dày:,Giảm tiết acid,Thủng dạ dày gây viêm phúc mạc,Nôn nhiều,Hội chứng kém hấp thu,b
Đặc điểm phân biệt u tuyến lành với ung thư là:,Kích thước u,Màu sắc mô,Xâm lấn vỏ và mạch máu,Tăng sinh tế bào,c
"Trong sung huyết phổi mạn tính, đặc điểm mô học đặc trưng là?",Xơ hóa mô phổi,"""Tế bào suy tim"" chứa hemosiderin",Giãn nở tiểu động mạch,Huyết khối trong phế nang,b
Bệnh học pháp y chủ yếu liên quan đến:,Xác định nguyên nhân tử vong,Chẩn đoán ung thư,Nghiên cứu mô học,Nghiên cứu huyết học,a
Viêm đại tràng vi thể có thể chia thành:,Viêm đại tràng tăng sản và loạn sản,Viêm đại tràng collagen và lympho,Viêm đại tràng viêm loét,Viêm đại tràng nhiễm trùng,b
Biểu mô trong carcinôm vòm hầu không sừng hóa:,Có biệt hóa rõ,Sừng hóa mạnh,"Không biệt hóa, nhiều tế bào lympho",Tạo tuyến,c
Phân loại xơ gan dựa vào:,Mức độ đau,Nồng độ enzym gan,Kích thước nốt tái tạo,Lượng mỡ gan,c
Hệ thống TNM dùng để phân loại gì?,Độ biệt hóa khối u,Giai đoạn bệnh ung thư,Mức độ viêm của khối u,Mức độ đáp ứng với hóa trị,b
Yếu tố nguy cơ không thuộc về nội tiết là?,Béo phì,Tiểu đường,Tăng huyết áp,Hút thuốc lá,d
Khi ung thư vú di căn xa cơ quan nào thường bị ảnh hưởng nhất?,Phổi,Xương,Não,Gan,b
Phương pháp nào có độ nhạy cao nhất trong phát hiện sớm ung thư buồng trứng?,Siêu âm qua ngả âm đạo,Chụp MRI,PET-CT,X-quang ngực,a
U lymphô không Hodgkin nào có liên quan mật thiết với virus Epstein-Barr (EBV)?,U lymphô Burkitt,U lymphô tế bào B lớn lan tỏa (DLBCL),U lymphô tế bào T ngoại vi,Bệnh bạch cầu lympho mạn (CLL),a
Ứng dụng quan trọng của apoptosis trong điều trị ung thư là gì?,Ức chế quá trình apoptosis,Kích thích apoptosis để tiêu diệt tế bào ung thư,Gây hoại tử tế bào ung thư,Ức chế miễn dịch để giảm viêm,b
Phân biệt viêm cấp và viêm mạn dựa vào:,Loại tế bào viêm xâm nhập,Lượng dịch tiết,Vị trí tổn thương,Dấu hiệu lâm sàng,a
Đặc điểm mô học nổi bật của ung thư không biệt hóa:,Cấu trúc nhú điển hình,"Tế bào dị dạng, hoại tử nhiều",Tế bào tiết calcitonin,Biệt hóa giống tuyến,b
Sung huyết động xảy ra khi nào?,Giãn nở tiểu động mạch,Giảm dòng máu tĩnh mạch,Thiếu oxy mô,Tắc nghẽn bạch huyết,a
Bệnh học huyết học giúp chẩn đoán bệnh nào sau đây?,Thiếu máu,Đột quỵ,Viêm phổi,Loãng xương,a
Đột biến gen phổ biến trong ung thư đại tràng:,ALK,"APC, KRAS, p53",BRAF,RAS,b
"Trong hen phế quản, các thể vùi Charcot-Leyden là:",Tinh thể từ vỡ tế bào bạch cầu ái toan,Thể virus,Tế bào dị dạng,Xác vi khuẩn,a
Viêm túi mật cấp thường do:,Viêm tụy,Sỏi túi mật gây tắc ống cổ túi mật,Xơ gan,Rối loạn miễn dịch,b
Một u lành tính thường có đặc điểm nào sau đây trên vi thể?,Tế bào u có nhân lớn dị dạng,Hoạt động phân bào bất thường,Tế bào có biệt hóa tốt,Xâm nhập mạch máu,c
Đặc điểm về thể nào sau đây dùng với adenomyosis?,Tế bào gai,Tuyến nội mạc và mô đêm trong cơ tử cung,U mô đêm không biết hóa,Tế bào hạt dạng da nhân,b
ADC (Antibody-Drug Conjugate) nào đang được nghiên cứu trong ung thư vú?,Trastuzumab Deruxtecan,Bevacizumab,Letrozole,Paclitaxel,a
U tế bào mầm phổ biến nhất là?,U loạn sản,U quái trưởng thành,U túi noãn hoàng,U tế bào Sertoli-Leydig,b
Dấu ấn miễn dịch nào phổ biến trong u lymphô tế bào B lớn lan tỏa (DLBCL)?,CD20,CD3,CD56,CD117,a
Which antioxidant enzyme neutralizes hydrogen peroxide?,Superoxide dismutase,Catalase,Phospholipase,Kinase,b
Biến chứng không thuộc loét dạ dày:,Chảy máu,Thủng,Viêm tụy,Hẹp môn vị,c
Mô giáp lạc chỗ thường gặp nhất ở vị trí nào?,Vùng cổ sau,Vùng nền sọ,Đáy lưỡi,Giữa hai thuỳ giáp,c
Hemophilia A là do thiếu hụt yếu tố đông máu nào?,Yếu tố VII,Yếu tố VIII,Yếu tố IX,Yếu tố XIII,b
Kỹ thuật nào giúp xác định đột biến gen liên quan đến ung thư?,PCR,FISH,Hóa mô miễn dịch,Cả A và B,d
Polyp đại tràng tăng sản thường:,Có khả năng ác tính cao,"Không có loạn sản, nguy cơ rất thấp chuyển ung thư",Phát triển nhanh,Có hoại tử trung tâm,b
"Trong lao kê, sự lan truyền vi khuẩn theo đường:",Bạch huyết,Phế quản,Máu,Màng phổi,c
Định nghĩa xơ gan:,Viêm cấp gan,Thoái hóa mỡ nặng,Sự hình thành các dải xơ và nốt tái tạo gan,Tăng áp tĩnh mạch cửa,c
